Date,Open,High,Low,Close,Adj.Close,Volume,Change,Perc Change
1/2/2006,1352.03186,1352.03186,1352.03186,1352.03186,672.086853,0,0,0
1/3/2006,1342.51062,1366.313965,1342.51062,1356.792603,674.453186,1456987,2.366333,0.352087381
1/4/2006,1356.792603,1418.681396,1356.792603,1409.160156,700.484863,1521955,26.031677,3.859671441
1/5/2006,1399.638672,1419.633545,1390.117432,1395.8302,693.858398,1304544,-6.626465,-0.945982611
1/6/2006,1413.920654,1447.245483,1399.638672,1447.245483,719.416748,1020603,25.55835,3.68351094
1/9/2006,1447.245483,1482.474487,1447.245483,1480.57019,735.982178,1537329,16.56543,2.302619455
1/10/2006,1490.091553,1490.091553,1437.724121,1443.43689,717.523438,984756,-18.45874,-2.50804171
1/11/2006,1466.288208,1475.809448,1447.245483,1466.288208,728.882874,1535094,11.359436,1.58314494
1/12/2006,1466.288208,1494.852173,1461.527466,1476.761719,734.088867,3886197,5.205993,0.714242739
1/13/2006,1476.761719,1498.660767,1475.809448,1498.660767,744.974915,2870543,10.886048,1.482933265
1/16/2006,1494.852173,1494.852173,1427.25061,1427.25061,709.477356,2055098,-35.497559,-4.764933461
1/17/2006,1438.67627,1466.288208,1410.112183,1452.006104,721.783142,11364535,12.305786,1.734486083
1/18/2006,1447.245483,1455.814697,1380.595947,1455.814697,723.676575,1479055,1.893433,0.26232713
1/19/2006,1466.288208,1475.809448,1456.766846,1466.288208,728.882874,1340676,5.206299,0.719423452
1/20/2006,1462.479614,1513.894897,1418.681396,1444.38916,717.996887,1577724,-10.885987,-1.493516639
1/23/2006,1460.575439,1475.809448,1432.963379,1466.288208,728.882874,3814623,10.885987,1.516160752
1/24/2006,1475.809448,1494.852173,1466.288208,1475.809448,733.615845,2734618,4.732971,0.649345892
1/25/2006,1481.522339,1513.894897,1480.57019,1504.373657,747.815063,2768123,14.199218,1.935511357
1/26/2006,1513.894897,1513.894897,1475.809448,1484.378662,737.875366,2875697,-9.939697,-1.329165123
1/27/2006,1485.330933,1528.177002,1480.57019,1528.177002,759.647278,2142234,21.771912,2.95062188
1/30/2006,1528.177002,1561.501709,1498.660767,1512.942749,752.074463,1602426,-7.572815,-0.996885689
1/31/2006,1513.894897,1557.693237,1504.373657,1504.373657,747.815063,2952967,-4.2594,-0.566353494
2/1/2006,1531.985474,1551.980347,1514.847046,1543.411133,767.220215,3846929,19.405152,2.594913229
2/2/2006,1547.219727,1599.587158,1523.41626,1561.501709,776.212891,3059671,8.992676,1.172111452
2/3/2006,1551.980347,1551.980347,1496.75647,1509.134277,750.181152,2234947,-26.031739,-3.353685478
2/6/2006,1509.134277,1544.363281,1509.134277,1523.41626,757.280945,3419720,7.099793,0.946410474
2/7/2006,1537.698242,1571.022949,1499.612915,1523.41626,757.280945,4623504,0,0
2/8/2006,1504.373657,1523.41626,1475.809448,1509.134277,750.181152,5557044,-7.099793,-0.937537521
2/9/2006,1523.41626,1523.41626,1475.809448,1504.373657,747.815063,3189374,-2.366089,-0.315402352
2/10/2006,1509.134277,1556.740967,1509.134277,1528.177002,759.647278,1765843,11.832215,1.582238121
2/13/2006,1523.41626,1551.980347,1485.330933,1485.330933,738.348877,1236869,-21.298401,-2.803722414
2/14/2006,1475.809448,1505.325684,1457.718994,1457.718994,724.623169,3169995,-13.725708,-1.858973234
2/15/2006,1475.809448,1494.852173,1466.288208,1483.426636,737.402283,2544037,12.779114,1.76355305
2/16/2006,1485.330933,1518.65564,1447.245483,1472.000977,731.722534,938941,-5.679749,-0.770237512
2/17/2006,1499.612915,1504.373657,1442.484741,1480.57019,735.982178,2814188,4.259644,0.58213924
2/20/2006,1485.330933,1494.852173,1480.57019,1485.330933,738.348877,790640,2.366699,0.321570151
2/21/2006,1494.852173,1494.852173,1437.724121,1485.330933,738.348877,1342901,0,0
2/22/2006,1492.947998,1509.134277,1485.330933,1494.852173,743.081909,4795370,4.733032,0.641029214
2/23/2006,1504.373657,1522.464233,1494.852173,1509.134277,750.181152,2189761,7.099243,0.955378258
2/24/2006,1523.41626,1523.41626,1503.421387,1518.65564,754.914185,2341639,4.733033,0.630918677
2/27/2006,1515.799194,1525.320557,1509.134277,1518.65564,754.914185,1254959,0,0
2/28/2006,1523.41626,1523.41626,1497.708618,1497.708618,744.501709,2579597,-10.412476,-1.379292668
3/1/2006,1497.708618,1497.708618,1497.708618,1497.708618,744.501709,0,0,0
3/2/2006,1513.894897,1527.224854,1502.46936,1513.894897,752.547729,2801279,8.04602,1.080725525
3/3/2006,1523.41626,1523.41626,1513.894897,1513.894897,752.547729,1460324,0,0
3/6/2006,1513.894897,1513.894897,1490.091553,1494.852173,754.470154,748352,1.922425,0.255455558
3/7/2006,1494.852173,1494.852173,1471.04895,1471.04895,742.456055,2624515,-12.014099,-1.592388902
3/8/2006,1475.809448,1521.511963,1442.484741,1457.718994,735.728516,1952384,-6.727539,-0.906119487
3/9/2006,1457.718994,1494.852173,1429.154907,1466.288208,740.053467,1996557,4.324951,0.587846047
3/10/2006,1475.809448,1490.091553,1428.202759,1480.57019,747.261597,1372672,7.20813,0.974001247
3/13/2006,1494.852173,1518.65564,1480.57019,1516.751343,765.522644,1340407,18.261047,2.443728819
3/14/2006,1516.751343,1523.41626,1490.091553,1523.41626,768.88678,1085522,3.364136,0.439456106
3/15/2006,1521.511963,1528.177002,1508.182129,1523.41626,768.88678,1880156,0,0
3/16/2006,1518.65564,1570.070923,1499.612915,1521.511963,767.925659,4386423,-0.961121,-0.125001629
3/17/2006,1523.41626,1542.458984,1504.373657,1542.458984,778.497864,2192048,10.572205,1.376722457
3/20/2006,1542.458984,1561.501709,1513.894897,1542.458984,778.497864,943537,0,0
3/21/2006,1542.458984,1542.458984,1542.458984,1542.458984,778.497864,0,0,0
3/22/2006,1542.458984,1566.262451,1513.894897,1551.980347,783.303223,827898,4.805359,0.617260396
3/23/2006,1556.740967,1571.022949,1542.458984,1561.501709,788.108887,1548167,4.805664,0.613512604
3/24/2006,1571.022949,1590.065796,1532.937622,1580.544434,797.71991,1091856,9.611023,1.219504457
3/27/2006,1590.065796,1636.720459,1542.458984,1542.458984,778.497864,509593,-19.222046,-2.409623448
3/28/2006,1536.746216,1569.118774,1524.368408,1542.458984,778.497864,3278827,0,0
3/29/2006,1538.650513,1566.262451,1523.41626,1556.740967,785.705872,3949999,7.208008,0.925886677
